Date,Tournament Name,POS,1,2,3,4,5,"Total
Score",To PAR,FedExCup Rank,FedExCup Points
5/17/15,Wells Fargo Championship,T4,71,66,71,68,--,276,-12,47,115
6/7/15,the Memorial Tournament presented by Nationwide,T65,72,68,78,75,--,293,5,59,5
6/14/15,FedEx St. Jude Classic,T3,68,69,70,65,--,272,-8,42,125
06/21/15,U.S. Open,T64,69,74,77,73,--,293,13,45,5
7/19/15,The Open Championship,T20,70,72,70,69,--,281,-7,51,47
8/9/15,World Golf Championships-Bridgestone Invitational,T63,76,70,71,74,--,291,11,56,7
08/16/15,PGA Championship,T18,72,73,66,69,--,280,-8,51,53
8/30/15,The Barclays,T50,68,71,69,73,--,281,1,51,80
9/7/15,Deutsche Bank Championship,T65,70,73,70,74,--,287,3,51,18
9/20/15,BMW Championship,T32,68,70,72,67,--,277,-7,51,144
10/27/13,CIMB Classic,T19,71,70,68,74,--,283,-5,66,50
11/03/13,World Golf Championships-HSBC Champions,14,71,68,72,65,--,276,-12,26,62
1/26/14,Farmers Insurance Open,W/D,69,73,--,--,--,142,-2,97,--
02/02/14,Waste Management Phoenix Open,T42,71,67,72,71,--,281,-3,88,27
02/09/14,AT&T Pebble Beach National Pro-Am,T19,66,73,71,74,--,284,-3,70,49
3/2/14,The Honda Classic,CUT,70,71,--,--,--,141,1,92,--
3/9/14,World Golf Championships-Cadillac Championship,T16,74,75,69,74,--,292,4,77,51
03/30/14,Valero Texas Open,W/D,77,70,--,--,--,147,3,97,--
04/06/14,Shell Houston Open,T12,68,70,72,71,--,281,-7,80,59
4/13/14,Masters Tournament,CUT,76,73,--,--,--,149,5,84,--
5/4/14,Wells Fargo Championship,T11,67,75,63,76,--,281,-7,83,65
5/11/14,THE PLAYERS Championship,CUT,75,70,--,--,--,145,1,85,--
6/1/14,the Memorial Tournament presented by Nationwide Insurance,T49,72,70,72,73,--,287,-1,95,20
06/08/14,FedEx St. Jude Classic,T11,67,68,67,72,--,274,-6,87,68
06/15/14,U.S. Open,T28,70,73,72,72,--,287,7,80,40
7/20/14,The Open Championship,T23,74,70,71,68,--,283,-5,87,47
8/3/14,World Golf Championships-Bridgestone Invitational,T15,71,73,69,62,--,275,-5,84,56
8/10/14,PGA Championship,2,69,67,67,66,--,269,-15,42,330
8/24/14,The Barclays,78,71,72,75,--,--,218,5,45,4
09/01/14,Deutsche Bank Championship,T45,74,69,72,67,--,282,-2,45,120
9/7/14,BMW Championship,W/D,70,76,--,--,--,146,6,45,--
1/27/13,Farmers Insurance Open,T51,72,71,75,70,--,288,E,91,16
2/3/13,Waste Management Phoenix Open,1,60,65,64,67,--,256,-28,3,500
2/10/13,AT&T Pebble Beach National Pro-Am,T60,69,71,73,72,--,285,-1,3,11
2/17/13,Northern Trust Open,T21,71,67,72,71,--,281,-3,2,48
03/10/13,World Golf Championships-Cadillac Championship,T3,67,67,69,71,--,274,-14,4,140
3/24/13,Arnold Palmer Invitational presented by MasterCard,CUT,73,79,--,--,--,152,8,5,--
3/31/13,Shell Houston Open,T16,72,71,67,68,--,278,-10,4,54
4/14/13,Masters Tournament,T54,71,76,77,73,--,297,9,5,16
5/5/13,Wells Fargo Championship,3,68,67,73,73,--,281,-7,6,190
05/12/13,THE PLAYERS Championship,CUT,72,73,--,--,--,145,1,6,--
06/09/13,FedEx St. Jude Classic,T2,71,67,65,67,--,270,-10,5,245
6/16/13,U.S. Open,T2,67,72,70,74,--,283,3,4,270
7/7/13,The Greenbrier Classic,CUT,74,68,--,--,--,142,2,4,--
7/21/13,The Open Championship,1,69,74,72,66,--,281,-3,2,600
08/04/13,World Golf Championships-Bridgestone Invitational,T21,72,71,67,71,--,281,1,4,48
8/11/13,PGA Championship,T72,71,71,78,72,--,292,12,4,1
8/25/13,The Barclays,T6,71,69,70,65,--,275,-9,4,458
09/02/13,Deutsche Bank Championship,T41,63,71,71,71,--,276,-8,4,138
9/15/13,BMW Championship,T33,70,74,68,71,--,283,-1,4,178
9/22/13,TOUR Championship by Coca-Cola,T12,71,67,70,68,--,276,-4,4,313
1/22/12,Humana Challenge in partnership with the Clinton Foundation,T49,74,69,66,69,--,278,-10,95,20
1/29/12,Farmers Insurance Open,CUT,77,68,--,--,--,145,1,119,--
02/05/12,Waste Management Phoenix Open,T26,68,70,67,73,--,278,-6,82,42
2/12/12,AT&T Pebble Beach National Pro-Am,1,70,65,70,64,--,269,-17,5,500
2/19/12,Northern Trust Open,T2,66,70,70,71,--,277,-7,3,245
03/11/12,World Golf Championships-Cadillac Championship,T43,72,71,71,71,--,285,-3,5,28
03/25/12,Arnold Palmer Invitational presented by MasterCard,T24,73,71,71,72,--,287,-1,5,45
4/1/12,Shell Houston Open,T4,65,70,70,71,--,276,-12,4,109
04/08/12,Masters Tournament,T3,74,68,66,72,--,280,-8,3,148
5/6/12,Wells Fargo Championship,T26,71,72,68,71,--,282,-6,4,43
